Title,Description,Campus,Research categories,Citizenship requirements,Preferred major(s),Desired experience,School/Dept.,Professor,More Info URL
Probing transitions in motor learning via physics-informed state-space models,"Probing transitions in motor learning via physics-informed state-space models Behavioral and cognitive functions emerge from the dynamic interactions of many neurons in the mammalian brain. These neural dynamics are intrinsically routed through evolutionarily preserved circuits, and understanding how circuit connectivity gives rise to neural dynamics and behavior is a central goal in systems neuroscience. For instance, humans can retain learned motor skills for many years, which requires preserved yet flexible neural codes that evolve daily as new skills are acquired. How the brain enables this flexible learning strategy under network constraints remains elusive, in part due to limitations of chronic recording technologies and scalable inference methods that can dissect how neural dynamics change as a function of underlying connectivity. In the Nano Neurotechnology Lab, we combine innovative multimodal approaches to understand brain dynamics during skillful movement. In particular, we are interested in how emergent dynamics in the motor cortex evolve during specific transitions in motor skill acquisition and how these dynamics change over time. This project focuses on building a physics-informed inference pipeline that integrates multimodal datasets into interpretable state-space models, leveraging tools such as latent linear dynamical systems and recurrent neural network–based state-space models. The students' expected role will be to explore methods, including hidden Markov models, Bayesian state-space inference, Gaussian process priors over latent trajectories, and switching dynamical systems constrained by biophysical properties of cortical circuits. By integrating surface potentials organized as wave-like patterns with population-wide cellular recordings, these models will infer low-dimensional latent states, identify transition structure between skill phases, and link changes in connectivity to shifts in latent dynamics. The anticipated outcome of this project is a validated modeling framework and open-source toolkit that can predict learning-related transitions from ongoing neural activity and guide the design of adaptive, closed-loop BCI strategies for motor rehabilitation. By the end of this project the student would have gained a deep knowledge on neural dynamics, latent variable analysis, and closed-loop control.",West Lafayette,"Big Data/Machine Learning, Biological Characterization and Imaging, Biological Simulation and Technology, Cellular Biology, Deep Learning, Fluid Modelling and Simulation",No citizenship requirements,No Major Restriction,"Controls, signal processing, math,",Weldon School of Biomedical Engineering,Krishna Jayant,
Radiation and Agglomeration in Metalized Solid Fuel Propulsion Environments,"We are seeking a motivated undergraduate researcher to join an experimental combustion research project investigating radiative heat transfer and particle dynamics in metalized solid fuel combustion, with applications to advanced propulsion systems. This project is part of a research effort sponsored by the Office of Naval Research (ONR) and conducted at Purdue University. Metalized solid fuels, commonly containing aluminum or other reactive metals, are widely used to enhance propulsion performance. During combustion, metal particles produce intense thermal radiation that can significantly influence fuel burn rates. Despite its importance, this radiative feedback mechanism remains poorly quantified. The goal of this project is to develop and apply advanced optical diagnostics to directly measure radiative heat flux and particle properties in these extreme environments, and to connect experimental results with physics-based models. The undergraduate researcher will contribute to experimental and analytical tasks that may include: •	Design and assembly of experimental components for combustion diagnostics •	Optical measurements of particle-laden flames (imaging, extinction, holography) •	Data processing and analysis using Python or MATLAB •	Thermal modeling related to particle combustion and radiation •	Support of laboratory experiments involving solid fuel combustion The exact scope will be tailored to the student’s background and interests.",West Lafayette,"Energy and Environment, Fluid Modelling and Simulation",U.S. Citizen,Mechanical Engineering Aeronautical and Astronautical Engineering Chemical Engineering,"The ideal candidate:
•	Is available to work in person for the duration of the summer
•	Has coursework or strong interest in mechanical engineering, aerospace engineering, physics, or a related field
•	Has experience with or interest in MATLAB or Python
•	Has experience with or interest in experimental systems, instrumentation, or laboratory work
•	Experience with CAD (e.g., SolidWorks) is a plus
•	Must be eligible to work with export-controlled information

Prior research experience is helpful but not required.",School of Mechanical Engineering,Daniel Guildenbecher,https://engineering.purdue.edu/GuildenbecherLab
Robust Machine Learning Research,"David I. Inouye’s research vision is to develop trustworthy machine learning methods that are robust to imperfect distributional and computational assumptions. Can causality help us understand and mitigate ML robustness issues? What is the interplay between ML explanations and robustness? How can we perform robust collaborative learning on a dynamic network of edge devices? Can we find robust distribution matching methods to alleviate distribution shifts? Specific project details will be decided closer to the start date, sometimes in collaboration with the student.",West Lafayette,"Big Data/Machine Learning, Deep Learning","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,"Enjoys thinking deeply about problems and solutions.
Able to manage and overcome a large amount of uncertainty.
Able to learn new topics independently.
Teachable.
Excited about research.
Strong programming experience.
Strong math background.
Good written and oral communication skills.",Elmore Family School of Electrical and Computer Engineering,David Inouye,https://www.davidinouye.com/
Scanning Thermal Microscopy for Studying Defects in Solids,"In this project, the student will use Scanning Thermal Microscopy to perform function study the defects. SThM provides sub 100-nm spatial resolution that is useful to study defects in different materials. Most importantly, it can be used to extract thermal resistance across grain boundaries of a polycrystalline film which is a useful metric for certain thermal interface materials used for heterogeneous integration in advanced packaging. The student will learn to operate the SThM tool and it is expected that she will do basic data analysis to extract useful information from the raw data.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Material Processing and Characterization",No citizenship requirements,Materials Engineering,,School of Materials Engineering,Raisul Islam,https://engineering.purdue.edu/RISE-Lab
Sex-based differences in the gut-joint axis,"This project is related to the gut-joint axis, or the study of the interactions among the gut microbiome, the synovial joint, and the systemic factors that mediate this relationship. The participant will learn about methods to manipulate and study the microbiome in murine model systems and to evaluate content and structural changes in the musculoskeletal system. The regions of the musculoskeletal system may include the forelimbs and hindlimbs, as well as the lumbar spine, and experience different mechanical loading throughout daily activities. The participant will evaluate the differences between male and female in both the gut microbiome response and the corresponding changes to the musculoskeletal system. The participant will learn computational tools for statistical comparisons between sexes, as well as microbiome and image analysis.",West Lafayette,Biological Characterization and Imaging,No citizenship requirements,Biomedical Engineering Biology Microbiology Biochemistry (Biology) Biological Engineering - multiple concentrations,"Biology, biochemistry, statistics",Weldon School of Biomedical Engineering,Deva Chan,engineering.purdue.edu/ChanLab
Shock wave interaction with droplets and ice crystals,"The student(s) will work with Prof. Jewell's graduate students and Research Scientist, Dr. Carson Lay, to operate and improve the Purdue University 3-inch Shock Tube, with applications in shock wave measurements, high-speed videography of particle (including ice particle) and droplet interactions, and high-speed pressure transducers. The project may also include the development and implementation of new optical measurement systems, including laser-based systems, as well as the development and improvement of fast-acting valves to introduce particles. High-Mach shock tunnel operations will be commissioned via the use of helium in the driver tube.",West Lafayette,Fluid Modelling and Simulation,U.S. Citizen,Aeronautical and Astronautical Engineering Mechanical Engineering,Good performance in AAE333 and AAE334 (or equivalent)--up through compressible fluids and shock waves. Experience with MATLAB. Experience with CAD software. Willingness to work with laser light sources. Ability to work towards goals independently.,School of Aeronautics and Astronautics,Joseph Jewell,https://engineering.purdue.edu/AAE/people/ptProfile?resource_id=221718
Small molecule inducers of Streptomyces natural products,"The student will study small molecules as chemical tools to induce production of silent biosynthetic gene clusters. The student will work directly with a graduate student with expertise in this area. They will develop skills in bacterial growth, metabolomics, qPCR, and natural product isolation.",West Lafayette,"Biological Characterization and Imaging, Cellular Biology",No citizenship requirements,No Major Restriction,,Chemistry,Elizabeth Parkinson,https://www.parkinsonlaboratory.com/
Solutions towards returning chemically contaminated infrastructure to safe use,"When man-made and natural disasters occur such as wildfires, floods, and chemical spills, chemicals can find there way into civil infrastructure systems such as water distribution networks and building plumbing. Little information is available to help public works and public health professionals make decisions about returning the contaminated infrastructure to safe use. It is essential that new knowledge be created to determine when infrastructure materials should be replaced or can be decontaminated in-situ. This project will involve a student assisting a graduate student design and conduct experiments that explore how organic chemicals interact with piping materials and biofilms. This work is a results of 10+ years of experience by the research team assisting public works and public health professionals respond to and recover from disasters. Analytical methods for the summer experiments have already been developed and optimized by the graduate student mentor. The SURF student would learn and apply these methods that include basic chemical laboratory practices and microbiological practices. Data interpretation and analysis would be carried-out based on these experiments.",West Lafayette,"Biological Characterization and Imaging, Composite Materials and Alloys, Engineering the Built Environment, Environmental Characterization, Other",No citizenship requirements,No Major Restriction,"Above all, a strong commitment to learn and apply methods to generate knowledge is essential. Prior laboratory experience could be helpful, but is not necessary.",Lyles School of Civil Engineering,Andrew Whelton,https://engineering.purdue.edu/PlumbingSafety
Stem cell immunoengineering for targeted cancer therapy,"Cancer is a major threat for humans worldwide, with over 18 million new cases and 9.6 million cancer-related deaths in 2019. Although most common cancer treatments include surgery, chemotherapy, and radiotherapy, unsatisfactory cure rates require new therapeutic approaches. Recently, adoptive cellular immunotherapies with chimeric antigen receptor (CAR) engineered T and natural killer (NK) cells have shown impressive clinical responses in patients with various blood and solid cancers. However, current clinical practices are limited by the need of large numbers of healthy immune cells, resistance to gene editing, lack of in vivo persistence, and a burdensome manufacturing strategy that requires donor cell extraction, modulation, expansion, and re-introduction per each patient. The ability to generate universally histocompatible and genetically-enhanced immune cells from continuously renewable human pluripotent stem cell (hPSC) lines offers the potential to develop a true off-the-shelf cellular immunotherapy. While functional CAR-T and NK cells have been successfully derived from hPSCs, a significant gap remains in the scalability, time-consuming (5 or more weeks), purity and robustness of the differentiation methods due to the cumbersome use of serum, and/or feeder cells, which will incur potential risk for contamination and may cause batch-dependency in the treatment. This project thus aims to develop a novel, chemically-defined platform for robust production of CAR-T and CAR-NK cells from hPSCs. The students recruited will help to engineer stem cells with gene editing tools, differentiate stem cells into immune cells, and perform molecular and cellular assays to characterize the cells.",West Lafayette,"Biological Simulation and Technology, Cardiovascular Disease Research, Cellular Biology, Medical Science and Technology",No citizenship requirements,No Major Restriction,"Previous experience with cell culture and molecular biology is a bonus, but NOT required.",Davidson School of Chemical Engineering,Xiaoping Bao,https://sites.google.com/view/xiaoping-bao/home
Sustainable Recovery of Lithium-Ion Battery Cathode Materials,"This project aims to explore sustainable ways of separating cathode active materials from spent lithium-ion batteries or electrode scraps while preserving their original functional structures. The goal is to identify conditions that maximize material recovery and support more sustainable battery recycling. The student will play an integral role in the sustainable recovery of lithium-ion battery cathode materials, working at the interface of materials processing, electrochemistry, and data-driven analysis. Under close faculty supervision, the student will actively participate in experimental design, materials processing, characterization, and performance evaluation of recovered cathode materials. Specific responsibilities will include preparation and post-treatment of spent cathode feedstocks, execution of sustainable recovery processes, and systematic assessment of how processing conditions influence material structure and electrochemical performance.",Indianapolis,"Big Data/Machine Learning, Chemical Catalysis and Synthesis, Ecology and Sustainability, Energy and Environment, Material Processing and Characterization",No citizenship requirements,No Major Restriction,"Interest in sustainable energy, materials science, or chemical/mechanical engineering
Basic knowledge of chemistry or materials processing is helpful but not required.
Motivation to learn new techniques and work independently",School of Mechanical Engineering,Hosop Shin,https://engineering.purdue.edu/GEMSlab
Synthesis of novel 2D materials,"Anasori group at Purdue focuses on the design and synthesis of a novel family of nanomaterials, known as MXenes. MXenes are two-dimensional (2D) transition metal carbides, nitrides, and carbonitrides that exhibit unique combinations of metallic conductivity, tunable surface chemistry, and layered structures. Because of these properties, MXenes are being explored for a broad range of applications, including energy storage and conversion, catalysis, electromagnetic interference shielding, sensing, biomedical uses, water purification, and high-temperature structural materials. In this project, undergraduate researchers will work on synthesizing new families of MXenes, including double transition-metal and high-entropy MXenes, and optimizing their synthesis conditions. The resulting multi-layered and few-layered MXene flakes will be characterized to understand their structure, stability, and surface properties. Students will then explore how these properties relate to MXene applications across different fields, for example, electrocatalysis for hydrogen generation, energy storage in batteries and supercapacitors, shielding against electromagnetic waves, and potential use in extreme environments. This research will give students hands-on experience in nanomaterials synthesis, advanced characterization techniques, and application-oriented testing, while contributing to the discovery and development of next-generation materials. Type of student work: Synthesis of novel two-dimensional MXenes Optimizing synthesis conditions (e.g., reaction time, temperature)",West Lafayette,"Material Processing and Characterization, Nanotechnology",No citizenship requirements,No Major Restriction,,School of Materials Engineering,Babak Anasori,www.babakanasori.com
UPWARDS: AI-Assisted Design Automation of Integrated Circuits and Systems,"This project is open to UPWARDS 11 partner universities. Selected participants will conduct research in electronic and multiphysics design automation of integrated circuits and systems, specifically in developing AI-based methods and techniques to overcome the limitation of current methodologies in modeling, simulation, and design. Strong background in mathematics, software programing, integrated circuits, electromagnetics physics is desired.",West Lafayette,"Advanced Packaging, Big Data/Machine Learning, Deep Learning, Heterogeneous Integration, Microelectronics, Radiation Hardening, System-on-a-Chip, Thermal Technology",No citizenship requirements,Electrical Engineering Computer Engineering Computer Science,Rising junior or senior students are preferred.,Elmore Family School of Electrical and Computer Engineering,Dan Jiao,https://engineering.purdue.edu/~djiao/
Underwater Robotic Manipulation,"Underwater operations such as inspection, assembly, and retrieval are critical to the maintenance and protection of seabed infrastructure, smart ports, and defense assets. This project is under the umbrella of a collaborative project to develop an autonomous underwater robotic platform equipped with a dexterous manipulator, multimodal sensing in complex underwater environments. Specifically, the student working on this SURF project will support the hardware assembly, calibration, testing, programming, as well as data collection and analysis.",West Lafayette,"Fabrication and Robotics, Internet of Things (IoT)",No citizenship requirements,No Major Restriction,,Edwardson School of Industrial Engineering,Yu She,https://www.purduemars.com/home
Using network science for precision learning intervention,"The goal of this project is to develop precision learning intervention technology that leverages semantic network science to support early language learning and early intervention for developmental language disorder (DLD). DLD affects approximately 7% of the population, and results in lifelong risks for poor biomedical, educational, and professional outcomes, leading to tremendous costs to individuals and society. Our group seeks to combine recent theoretical and technical advances to develop methods for early identification and intervention of this common, yet understudied condition. Student will participate in coding / development of automated tools that tune early language learning targets according to the knowledge of the learner and will help pilot and assess efficacy of different intervention approaches. Student will work with senior members of the lab (postdocs and lab manager) to develop and acquire data.",West Lafayette,"Big Data/Machine Learning, Learning and Evaluation, Medical Science and Technology, Other",No citizenship requirements,No Major Restriction,"Preferred qualifications include: proficiency in R and/or Python, familiarity with Gitlab, exposure to or interest in learning about network science, and an interest in using remote technology to create engaging and effective early learning interventions in children under the age of 5.","Speech, Language, and Hearing Sciences",Arielle Borovsky,
VAP 3D Printing of Energetics,"This project will utilize explosive slurry mixtures to 3D print pore/void containing explosives. Printed explosives will be filled with inert and energetic materials to characterize various explosive phenomena such as jetting, penetration, detonation rate, fireball, and impulse. This project will consist of explosives mixing, 3D printing slurries, 3D modeling, charge preparation, test setup, high-speed camera operation, and data analysis.",West Lafayette,Other,"U.S. Citizen, U.S. Permanent Resident",No Major Restriction,,School of Mechanical Engineering,Steven Son,https://engineering.purdue.edu/Energetics
VPS35 mediated trafficking in AD,Using genome editing tools to investigate how disruption of VPS35 expression impairs intracellular trafficking.,West Lafayette,Biological Characterization and Imaging,No citizenship requirements,No Major Restriction,,Biological Sciences,Matthew Tegtmeyer,
Video analytics for dairy feed management,"Video analytics has the ability to fundamentally change animal agriculture by providing real-time analysis of operations on animal farms. In this project, we will focus on feed management. Potential projects include automating a video system to estimate the feed intake of individual dairy cattle, and automating a video system that assesses the texture consistency of feed during the mixing and preparation processes. These video systems need to be robust and accurate even in challenging environments with various illumination and shadows. The goal of this summer project is to explore computer vision methods to incorporate into these systems. The student will implement and conduct experiments using computer vision methods applied to a relevant set of videos. Depending on the project, the student may need to label with some videos with corresponding ground truth.  The student will discuss their updates at weekly meetings and will present their findings with a written report and oral presentation. The student will end the summer with a greater understanding of how video analytics can assist precision agriculture, and particularly, dairy production.",West Lafayette,"Big Data/Machine Learning, Other",No citizenship requirements,Electrical Engineering Technology Computer Engineering Computer Science,Python programming is required,Elmore Family School of Electrical and Computer Engineering,Amy Reibman,
Volumetric Imaging of Mineral Precipitation on RoughFracture Surfaces in Rock,"Subsurface engineering activities often involve the injection and withdrawal of fluids through fracture networks. Fluid - rock interactions can induced geochemical reactions that can alter these fluid conduits. In this study, research will examine the role of mineralogy along the fracture surface on calcium carbonate mineral precipitation. The student will (1) use 3D X-ray imaging to identify the mineralogy of a fractured rock sample and to capture the growth of precipitates along the surface, and (2) perform image analysis to quantify the changes in the surface caused by mineral precipitation and extract area or volumetric distributions of precipitates and determine.",West Lafayette,"Energy and Environment, Environmental Characterization",No citizenship requirements,No Major Restriction,Previous work in a laboratory,Physics and Astronomy,Laura Pyrak-Nolte,
microfluidic manipulation of biological systems,"this project will use microfluidics, 3d printing, electronics, machine learning, imaging processing to achieve real time classification and sorting of biological systems.",West Lafayette,"Big Data/Machine Learning, Biological Characterization and Imaging, Biological Simulation and Technology, Biotechnology Data Insights, Fluid Modelling and Simulation, System-on-a-Chip",No citizenship requirements,No Major Restriction,,School of Mechanical Engineering,Li Zhan,https://www.zhanlab.org/home
